Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
97-1,Tar,36.94978,-122.06017,Monterey Bay,Training,n/a,12,< 5,-23.4,0.59,6.2,1.1,10,0.02,0.03,0.86,0.17,0.23,0.63,0.88,0.32,0.59,0.83,0.3,0.2,0.11,0.35
97-3,Tar,36.94841,-122.06482,Monterey Bay,Training,n/a,22,< 5,-22.8,0.28,4.4,1.1,44,0.95,1.3,0.7,0.14,0.56,0.4,0.76,0.56,0.77,1.6,0.64,0.05,0.13,0.19
97-7,Tar,36.94864,-122.0643,Monterey Bay,Training,n/a,32,< 5,-22.8,0.2,3.1,1,113,2.4,2.7,0.63,0.1,0.86,0.3,0.75,0.57,0.83,2.2,0.77,0.03,0.15,0.13
97-13,Oil,35.95686,-120.85687,San Ardo field,Training,n/a,13,< 5,-22.9,0.42,6,0.9,13,0.38,0.41,0.91,0.49,0.17,0.72,0.94,0.33,0.67,0.8,0.26,0.14,0.18,0.24
97-14,Oil,33.77138,-118.30108,Wilmington field,Training,n/a,13,< 5,-23,0.45,7.8,1.1,25,0.45,0.45,0.95,0.31,0.18,0.72,0.81,0.36,0.67,0.88,0.33,0.12,0.15,0.29
97-15,Oil,34.43333,-119.95,Ellwood field,Training,n/a,211,< 5,-23.6,0.42,4.6,1,66,0.77,0.95,0.85,0.26,0.34,0.61,0.83,0.49,0.67,1.4,0.69,0.08,0.13,0.23
97-17,Tar,36.52578,-121.9252,Monterey Bay,Training,n/a,33,< 5,-22.9,0.19,3.5,1,149,3.5,4.4,0.59,0.09,1.1,0.26,0.75,0.6,0.83,2.1,1,0.03,0.2,0.11
97-18,Tar,36.23037,-121.78925,Monterey Bay,Training,n/a,33,< 5,-22.9,0.18,3.3,1,114,3.6,4.4,0.61,0.09,1,0.24,0.74,0.61,0.83,2,1.1,0.03,0.16,0.11
97-19,Tar,37.23744,-122.41674,San Mateo Coast,Training,n/a,22,< 5,-23.2,0.22,3.5,1.1,50,1.6,2,0.78,0.2,0.47,0.42,0.77,0.5,0.67,2,1.5,0.03,0.12,0.13
97-20,Tar,37.23745,-122.41674,San Mateo Coast,Training,n/a,22,< 5,-22.9,0.4,5.3,1.1,36,0.75,0.75,0.76,0.14,0.42,0.56,0.76,0.47,0.67,1.5,0.79,0.07,0.19,0.25
97-23,Tar,37.1501,-122.36049,San Mateo Coast,Training,n/a,22,< 5,-22.7,0.24,4.1,1.1,63,2.1,2.4,0.67,0.15,0.6,0.38,0.75,0.55,0.83,1.8,0.67,0.04,0.16,0.19
97-25,Tar,34.47073,-120.22916,Gaviota,Training,n/a,211,< 5,-22.9,0.33,4.5,1.1,11,1.1,1.2,0.79,0.19,0.38,0.56,0.83,0.48,0.63,1.4,0.75,0.06,0.1,0.19
97-26,Tar,34.47076,-120.22501,Gaviota,Training,n/a,14,< 5,-23,0.43,5.7,1.1,8,0.35,0.52,0.85,0.15,0.35,0.67,0.89,0.47,0.67,1.2,0.59,0.09,0.12,0.27
97-27,Tar,34.37582,-119.47254,Rincon,Training,n/a,22,< 5,-23.2,0.23,3.5,0.97,39,2,2.5,0.78,0.17,0.5,0.43,0.77,0.52,0.71,2,1.4,0.04,0.13,0.13
97-28,Tar,34.37554,-119.47306,Rincon,Training,n/a,22,< 5,-23.2,0.24,4.8,1,41,2,2.4,0.77,0.14,0.51,0.43,0.79,0.54,0.71,2.1,1.5,0.04,0.1,0.15
97-32,Tar,32.8274,-117.2801,San Diego,Training,n/a,35,< 5,-23.2,0.26,6.6,1.3,148,3.7,3.6,0.7,0.1,0.76,0.37,0.71,0.61,0.67,1.4,0.38,0.04,0.09,0.18
97-33,Tar,32.82735,-117.2801,San Diego,Training,n/a,22,< 5,-23.3,0.22,3.6,0.94,78,2.2,2.5,0.78,0.14,0.58,0.4,0.77,0.53,0.67,2.1,1.7,0.03,0.12,0.12
97-38,Tar,36.59322,-121.96222,Monterey Bay,Training,n/a,35,< 5,-23.2,0.26,5.7,1.2,148,4.2,4,0.7,0.11,0.71,0.37,0.71,0.56,0.67,1.5,0.39,0.04,0.1,0.15
97-39,Tar,35.98288,-121.49233,Big Sur,Training,n/a,33,< 5,-22.9,0.19,3.6,0.96,118,2.9,3.5,0.61,0.08,1.1,0.26,0.74,0.6,0.83,2.1,1,0.03,0.16,0.12
97-41,Tar,35.40623,-120.8715,Morro Bay,Training,n/a,34,< 5,-22.8,0.2,2.9,0.95,178,3.5,4.1,0.61,0.1,0.87,0.3,0.71,0.55,0.67,2.5,0.7,0.03,0.14,0.11
97-42,Tar,35.40628,-120.8715,Morro Bay,Training,n/a,32,< 5,-23,0.2,3.5,0.91,67,2.2,2.9,0.69,0.11,0.78,0.32,0.75,0.54,0.71,2.1,1.2,0.03,0.13,0.11
97-50,Tar,37.11814,-122.31413,San Mateo Coast,Training,n/a,22,< 5,-23.7,0.23,3.3,0.91,1,0.59,0.93,0.76,0.19,0.48,0.48,0.77,0.49,0.83,1.9,3,0.06,0.14,0.24
97-56,Tar,40.37421,-124.28996,Petrolia field,Training,n/a,12,< 5,0,0.71,3,0.93,1,0.08,0.08,0.72,0.42,0.14,0.82,1.3,0.2,0.48,0.45,0,0.22,0.1,0.15
97-72,Tar,35.17705,-120.72912,Morro Bay,Training,n/a,34,< 5,0,0.19,3,1,155,3.9,4.3,0.58,0.1,0.92,0.29,0.67,0.54,0.71,2.3,0.8,0.02,0.12,0.07
97-72A,Tar,35.17718,-120.729,Morro Bay,Training,n/a,34,< 5,0,0.18,2.6,1.1,153,3.8,4.3,0.58,0.09,0.93,0.29,0.68,0.51,0.77,2.2,0.7,0.02,0.11,0.06
